categoryKey,categoryName,metricKey,metricName,metricPath,metricModelKey,metricDescription,metricSource,metricUnit,fieldKey,fieldName,fieldPeriod,fieldSort,fieldDescription,fieldSource,fieldUnit,fieldAliases
profitability,獲利能力,eps,每股盈餘 EPS,/profitability/eps,,本期淨利 ÷ 流通股數，衡量每一股份分配到的獲利,MOPS 季報財務比率,currency,epsQuarterly,EPS,quarterly,1,,,,
profitability,獲利能力,eps,每股盈餘 EPS,/profitability/eps,,本期淨利 ÷ 流通股數，衡量每一股份分配到的獲利,MOPS 季報財務比率,currency,epsQuarterlyAnnualized,EPS,quarterlyAnnualized,2,,,,
profitability,獲利能力,eps,每股盈餘 EPS,/profitability/eps,,本期淨利 ÷ 流通股數，衡量每一股份分配到的獲利,MOPS 季報財務比率,currency,epsTtm,EPS,ttm,3,,,,
profitability,獲利能力,bvps,每股淨值 BVPS,/profitability/bvps,,股東權益 ÷ 流通股數，衡量每一股份對應的帳面淨值,MOPS 季報財務比率,currency,bvps,每股淨值 BVPS,snapshot,1,,,,
profitability,獲利能力,revenuePerShare,每股營收,/profitability/revenue-per-share,,本期營收 ÷ 流通股數,MOPS 季報財務比率,currency,revenuePerShareQuarterly,每股營收,quarterly,1,,,,
profitability,獲利能力,revenuePerShare,每股營收,/profitability/revenue-per-share,,本期營收 ÷ 流通股數,MOPS 季報財務比率,currency,revenuePerShareQuarterlyAnnualized,每股營收,quarterlyAnnualized,2,,,,
profitability,獲利能力,revenuePerShare,每股營收,/profitability/revenue-per-share,,本期營收 ÷ 流通股數,MOPS 季報財務比率,currency,revenuePerShareTtm,每股營收,ttm,3,,,,
profitability,獲利能力,grossMargin,毛利率,/profitability/margins,margins,(營收 − 銷貨成本) ÷ 營收，衡量產品或服務本身的獲利能力,MOPS 季報財務比率,percent,grossMarginQuarterly,毛利率,quarterly,1,,,,
profitability,獲利能力,grossMargin,毛利率,/profitability/margins,margins,(營收 − 銷貨成本) ÷ 營收，衡量產品或服務本身的獲利能力,MOPS 季報財務比率,percent,grossMarginTtm,毛利率,ttm,2,,,,
profitability,獲利能力,operatingMargin,營業利益率,/profitability/margins,margins,營業利益 ÷ 營收，衡量本業經營的獲利能力,MOPS 季報財務比率,percent,operatingMarginQuarterly,營業利益率,quarterly,1,,,,
profitability,獲利能力,operatingMargin,營業利益率,/profitability/margins,margins,營業利益 ÷ 營收，衡量本業經營的獲利能力,MOPS 季報財務比率,percent,operatingMarginTtm,營業利益率,ttm,2,,,,
profitability,獲利能力,netProfitMargin,稅後淨利率,/profitability/margins,margins,稅後淨利 ÷ 營收，衡量最終回歸股東的獲利比率,MOPS 季報財務比率,percent,netProfitMarginQuarterly,稅後淨利率,quarterly,1,,,,
profitability,獲利能力,netProfitMargin,稅後淨利率,/profitability/margins,margins,稅後淨利 ÷ 營收，衡量最終回歸股東的獲利比率,MOPS 季報財務比率,percent,netProfitMarginTtm,稅後淨利率,ttm,2,,,,
profitability,獲利能力,roe,股東權益報酬率 ROE,/profitability/roe,,稅後淨利 ÷ 股東權益，衡量股東出資賺到的報酬率,MOPS 季報財務比率,percent,roeQuarterlyPct,ROE,quarterly,1,,,,
profitability,獲利能力,roe,股東權益報酬率 ROE,/profitability/roe,,稅後淨利 ÷ 股東權益，衡量股東出資賺到的報酬率,MOPS 季報財務比率,percent,roeQuarterlyAnnualizedPct,ROE,quarterlyAnnualized,2,,,,
profitability,獲利能力,roe,股東權益報酬率 ROE,/profitability/roe,,稅後淨利 ÷ 股東權益，衡量股東出資賺到的報酬率,MOPS 季報財務比率,percent,roeTtmPct,ROE,ttm,3,,,,
profitability,獲利能力,roa,總資產報酬率 ROA,/profitability/roa,,稅後淨利 ÷ 總資產，衡量運用全部資產創造獲利的效率,MOPS 季報財務比率,percent,roaQuarterlyPct,ROA,quarterly,1,,,,
profitability,獲利能力,roa,總資產報酬率 ROA,/profitability/roa,,稅後淨利 ÷ 總資產，衡量運用全部資產創造獲利的效率,MOPS 季報財務比率,percent,roaQuarterlyAnnualizedPct,ROA,quarterlyAnnualized,2,,,,
profitability,獲利能力,roa,總資產報酬率 ROA,/profitability/roa,,稅後淨利 ÷ 總資產，衡量運用全部資產創造獲利的效率,MOPS 季報財務比率,percent,roaTtmPct,ROA,ttm,3,,,,
profitability,獲利能力,roic,投入資本回報率 ROIC,/profitability/roic,,稅後淨營業利益 ÷ 投入資本（有息負債加股東權益），排除財務槓桿影響後的本業報酬率,MOPS 季報財務比率,percent,roicQuarterlyPct,ROIC,quarterly,1,,,,
profitability,獲利能力,roic,投入資本回報率 ROIC,/profitability/roic,,稅後淨營業利益 ÷ 投入資本（有息負債加股東權益），排除財務槓桿影響後的本業報酬率,MOPS 季報財務比率,percent,roicQuarterlyAnnualizedPct,ROIC,quarterlyAnnualized,2,,,,
profitability,獲利能力,roic,投入資本回報率 ROIC,/profitability/roic,,稅後淨營業利益 ÷ 投入資本（有息負債加股東權益），排除財務槓桿影響後的本業報酬率,MOPS 季報財務比率,percent,roicTtmPct,ROIC,ttm,3,,,,
profitability,獲利能力,roce,使用資本報酬率 ROCE,/profitability/roce,,稅前息前淨利 ÷ (總資產 − 流動負債)，衡量運用長期資本創造獲利的效率,MOPS 季報財務比率,percent,roceQuarterlyPct,ROCE,quarterly,1,,,,
profitability,獲利能力,roce,使用資本報酬率 ROCE,/profitability/roce,,稅前息前淨利 ÷ (總資產 − 流動負債)，衡量運用長期資本創造獲利的效率,MOPS 季報財務比率,percent,roceQuarterlyAnnualizedPct,ROCE,quarterlyAnnualized,2,,,,
profitability,獲利能力,roce,使用資本報酬率 ROCE,/profitability/roce,,稅前息前淨利 ÷ (總資產 − 流動負債)，衡量運用長期資本創造獲利的效率,MOPS 季報財務比率,percent,roceTtmPct,ROCE,ttm,3,,,,
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,netProfitMarginQuarterly,稅後淨利率,quarterly,1,,,,淨利率
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,netProfitMarginTtm,稅後淨利率,ttm,2,,,,淨利率
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,assetTurnoverQuarterly,總資產周轉率,quarterly,3,,,times,總資產週轉率
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,assetTurnoverTtm,總資產周轉率,ttm,4,,,times,總資產週轉率
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,equityMultiplier,權益乘數,snapshot,5,,,times,
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,decomposedRoeQuarterlyPct,組裝 ROE（杜邦）,quarterly,6,用上面三個因子（稅後淨利率×總資產周轉率×權益乘數）相乘組裝回去的 ROE，理論上應等於實際 ROE，差異來自四捨五入,,,
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,decomposedRoeTtmPct,組裝 ROE（杜邦）,ttm,7,,,,
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,actualRoeQuarterlyPct,實際 ROE（杜邦）,quarterly,8,直接引用 ROE 指標算出來的實際值，用來對照左邊「組裝 ROE」拆解得準不準,,,
profitability,獲利能力,dupont,杜邦分析,/profitability/dupont,,把 ROE 拆解成稅後淨利率、總資產周轉率、權益乘數三個因子，找出獲利能力的驅動來源,MOPS 季報財務比率,percent,actualRoeTtmPct,實際 ROE（杜邦）,ttm,9,,,,
profitability,獲利能力,dividendPayoutRatio,配息率,/profitability/dividend-payout-ratio,,現金股利總額 ÷ 稅後淨利，衡量獲利中有多少比例回饋給股東,MOPS 季報財務比率,percent,payoutRatioTtm,配息率,ttm,1,,,,
profitability,獲利能力,sgr,可持續成長率 SGR,/profitability/sgr,,ROE × (1 − 配息率)，估計不靠外部融資、單靠保留盈餘能支撐的最高成長速度,MOPS 季報財務比率,percent,sgrTtm,SGR,ttm,1,,,,
cashFlow,現金流量,ocfPerShare,每股營業現金流 OCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,本期營業活動現金流量 ÷ 流通股數,MOPS 季報財務比率,currency,ocfPerShareQuarterly,每股營業現金流 OCF,quarterly,1,,,,
cashFlow,現金流量,ocfPerShare,每股營業現金流 OCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,本期營業活動現金流量 ÷ 流通股數,MOPS 季報財務比率,currency,ocfPerShareQuarterlyAnnualized,每股營業現金流 OCF,quarterlyAnnualized,2,,,,
cashFlow,現金流量,ocfPerShare,每股營業現金流 OCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,本期營業活動現金流量 ÷ 流通股數,MOPS 季報財務比率,currency,ocfPerShareTtm,每股營業現金流 OCF,ttm,3,,,,
cashFlow,現金流量,fcfPerShare,每股自由現金流 FCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,(營業活動現金流量 + 資本支出) ÷ 流通股數，衡量扣除維持營運所需資本支出後，真正能自由運用的現金,MOPS 季報財務比率,currency,fcfPerShareQuarterly,每股自由現金流 FCF,quarterly,1,,,,
cashFlow,現金流量,fcfPerShare,每股自由現金流 FCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,(營業活動現金流量 + 資本支出) ÷ 流通股數，衡量扣除維持營運所需資本支出後，真正能自由運用的現金,MOPS 季報財務比率,currency,fcfPerShareQuarterlyAnnualized,每股自由現金流 FCF,quarterlyAnnualized,2,,,,
cashFlow,現金流量,fcfPerShare,每股自由現金流 FCF,/cash-flow/cash-flow-per-share,cashFlowPerShare,(營業活動現金流量 + 資本支出) ÷ 流通股數，衡量扣除維持營運所需資本支出後，真正能自由運用的現金,MOPS 季報財務比率,currency,fcfPerShareTtm,每股自由現金流 FCF,ttm,3,,,,
cashFlow,現金流量,ocfToNetIncome,營運現金流對淨利比,/cash-flow/ocf-to-net-income,,營業活動現金流量 ÷ 稅後淨利，比值明顯低於 1 代表帳面獲利缺乏真實現金流量支撐,MOPS 季報財務比率,ratio,ocfToNetIncomeQuarterly,營運現金流對淨利比,quarterly,1,,,,
cashFlow,現金流量,ocfToNetIncome,營運現金流對淨利比,/cash-flow/ocf-to-net-income,,營業活動現金流量 ÷ 稅後淨利，比值明顯低於 1 代表帳面獲利缺乏真實現金流量支撐,MOPS 季報財務比率,ratio,ocfToNetIncomeTtm,營運現金流對淨利比,ttm,2,,,,
cashFlow,現金流量,accrualsRatio,應計項目比率,/cash-flow/accruals-ratio,,(稅後淨利 − 營業現金流 − 投資現金流) ÷ 總資產，數值偏高代表獲利中應計項目（非現金）比重偏高，盈餘品質存疑,MOPS 季報財務比率,percent,accrualsRatioQuarterly,應計項目比率,quarterly,1,,,,
cashFlow,現金流量,accrualsRatio,應計項目比率,/cash-flow/accruals-ratio,,(稅後淨利 − 營業現金流 − 投資現金流) ÷ 總資產，數值偏高代表獲利中應計項目（非現金）比重偏高，盈餘品質存疑,MOPS 季報財務比率,percent,accrualsRatioQuarterlyAnnualized,應計項目比率,quarterlyAnnualized,2,,,,
cashFlow,現金流量,accrualsRatio,應計項目比率,/cash-flow/accruals-ratio,,(稅後淨利 − 營業現金流 − 投資現金流) ÷ 總資產，數值偏高代表獲利中應計項目（非現金）比重偏高，盈餘品質存疑,MOPS 季報財務比率,percent,accrualsRatioTtm,應計項目比率,ttm,3,,,,
cashFlow,現金流量,fcfYield,自由現金流殖利率,/cash-flow/fcf-yield,,每股自由現金流 ÷ 股價，用現金流角度衡量股價相對便宜或昂貴的程度,MOPS 季報財務比率與 TWSE 每日行情,percent,fcfYieldQuarterlyAnnualizedPct,自由現金流殖利率,quarterlyAnnualized,1,,,,
cashFlow,現金流量,fcfYield,自由現金流殖利率,/cash-flow/fcf-yield,,每股自由現金流 ÷ 股價，用現金流角度衡量股價相對便宜或昂貴的程度,MOPS 季報財務比率與 TWSE 每日行情,percent,fcfYieldTtmPct,自由現金流殖利率,ttm,2,,,,
resilience,韌性,currentRatio,流動比率,/resilience/liquidity-ratio,liquidityRatio,流動資產 ÷ 流動負債，衡量短期償債能力,MOPS 季報財務比率,percent,currentRatioPct,流動比率,snapshot,1,,,,
resilience,韌性,quickRatio,速動比率,/resilience/liquidity-ratio,liquidityRatio,(流動資產 − 存貨) ÷ 流動負債，比流動比率更嚴格，排除變現能力較差的存貨,MOPS 季報財務比率,percent,quickRatioPct,速動比率,snapshot,1,,,,
resilience,韌性,cashRatio,現金比率,/resilience/liquidity-ratio,liquidityRatio,現金及約當現金 ÷ 流動負債，衡量最極端情況下立即償債的能力,MOPS 季報財務比率,percent,cashRatioPct,現金比率,snapshot,1,,,,
resilience,韌性,debtRatio,資產負債率,/resilience/debt-ratio,,總負債 ÷ 總資產，衡量資產中有多少比例是靠借款支應,MOPS 季報財務比率,percent,debtRatioPct,資產負債率,snapshot,1,,,,
resilience,韌性,deRatio,負債權益比,/resilience/de-ratio,,總負債 ÷ 股東權益，衡量財務槓桿程度,MOPS 季報財務比率,percent,deRatioPct,負債權益比,snapshot,1,,,,
resilience,韌性,interestCoverage,利息保障倍數,/resilience/interest-coverage,,稅前息前淨利 ÷ 利息費用，衡量本業獲利足夠支付多少倍的利息負擔,MOPS 季報財務比率,times,interestCoverageQuarterly,利息保障倍數,quarterly,1,,,,
resilience,韌性,interestCoverage,利息保障倍數,/resilience/interest-coverage,,稅前息前淨利 ÷ 利息費用，衡量本業獲利足夠支付多少倍的利息負擔,MOPS 季報財務比率,times,interestCoverageTtm,利息保障倍數,ttm,2,,,,
resilience,韌性,netDebtToEbitda,淨負債對 EBITDA 比,/resilience/net-debt-to-ebitda,,(有息負債 − 現金) ÷ EBITDA，衡量用本業現金流量償還淨負債大約需要幾年,MOPS 季報財務比率,times,netDebtToEbitdaQuarterlyAnnualized,淨負債對 EBITDA 比,quarterlyAnnualized,1,,,,
resilience,韌性,netDebtToEbitda,淨負債對 EBITDA 比,/resilience/net-debt-to-ebitda,,(有息負債 − 現金) ÷ EBITDA，衡量用本業現金流量償還淨負債大約需要幾年,MOPS 季報財務比率,times,netDebtToEbitdaTtm,淨負債對 EBITDA 比,ttm,2,,,,
turnover,營運週轉,inventoryTurnoverRatio,存貨周轉率,/turnover/turnover-ratio,turnoverRatio,銷貨成本 ÷ 期末存貨，衡量存貨去化的速度,MOPS 季報財務比率,times,inventoryTurnoverQuarterly,存貨周轉率,quarterly,1,,,,
turnover,營運週轉,inventoryTurnoverRatio,存貨周轉率,/turnover/turnover-ratio,turnoverRatio,銷貨成本 ÷ 期末存貨，衡量存貨去化的速度,MOPS 季報財務比率,times,inventoryTurnoverQuarterlyAnnualized,存貨周轉率,quarterlyAnnualized,2,,,,
turnover,營運週轉,inventoryTurnoverRatio,存貨周轉率,/turnover/turnover-ratio,turnoverRatio,銷貨成本 ÷ 期末存貨，衡量存貨去化的速度,MOPS 季報財務比率,times,inventoryTurnoverTtm,存貨周轉率,ttm,3,,,,
turnover,營運週轉,receivablesTurnoverRatio,應收帳款周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末應收帳款，衡量收現的速度,MOPS 季報財務比率,times,receivablesTurnoverQuarterly,應收帳款周轉率,quarterly,1,,,,
turnover,營運週轉,receivablesTurnoverRatio,應收帳款周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末應收帳款，衡量收現的速度,MOPS 季報財務比率,times,receivablesTurnoverQuarterlyAnnualized,應收帳款周轉率,quarterlyAnnualized,2,,,,
turnover,營運週轉,receivablesTurnoverRatio,應收帳款周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末應收帳款，衡量收現的速度,MOPS 季報財務比率,times,receivablesTurnoverTtm,應收帳款周轉率,ttm,3,,,,
turnover,營運週轉,assetTurnoverRatio,總資產周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末總資產，衡量運用資產創造營收的效率,MOPS 季報財務比率,times,assetTurnoverQuarterly,總資產周轉率,quarterly,1,,,,
turnover,營運週轉,assetTurnoverRatio,總資產周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末總資產，衡量運用資產創造營收的效率,MOPS 季報財務比率,times,assetTurnoverQuarterlyAnnualized,總資產周轉率,quarterlyAnnualized,2,,,,
turnover,營運週轉,assetTurnoverRatio,總資產周轉率,/turnover/turnover-ratio,turnoverRatio,營收 ÷ 期末總資產，衡量運用資產創造營收的效率,MOPS 季報財務比率,times,assetTurnoverTtm,總資產周轉率,ttm,3,,,,
